age_key,Country_Territory,On-premise,Off-premise,Notes,Legislation
51,Ethiopia,18,18,,"Criminal Code, Proclamation 414/2004 Art 818 Revised Family Code, Proclamation No. 213/2000 Art 215"
52,Fiji,18,18,,The Liquor Act 1975 as amended through 2009 Sec 2
53,Finland,18,[varies by beverage],18 for beverages up to 22% ABV; 20 for other beverages,"Alcohol Act 1143/94, amended 1477/94 Sec 16, 24"
54,France,18,18,,Code of Public Health as amended through June 2015 Art L3342
55,Gabon,18,18,,Penal Code Art. 209bis-1
56,Gambia,16,18,,Liquor License Act S16 as revised in 2009
57,Georgia,18,18,,Law on Protecting Minors from Harmful Influences (2001) Art 4
58,Germany,[varies by beverage],[varies by beverage],"16 for beer and wine, 18 for spirits Those below 18 years of age are not permitted in premises licensed as bars, nightclubs and similar entertainment venues.",Protection of Young Person Act 2002 and Amendment BT-DRS. 15/2578
59,Ghana,18,18,,Liquor Licensing Act 331-1970 Sec 15
60,Greece,18,[varies by beverage],Off-premise: 18 for spirits at all outlets; 18 for other alcoholic beverages at specialized retailers [not regulated at grocery stores and other types of outlets],"Law 3730/2008 Protecting minors from tobacco and alcoholic beverages, and other provisions Art 4"
61,Grenada,16,[none],,Chapter 174 Liquor Dealers’ Licenses Act As amended through 1988 Art 39
62,Guatemala,18,18,,Public Health Code (1998) Art 50
63,Guinea Bissau,[none],[none],,[n/a]
64,Guyana,18 *,18,except 16 for wine or malt liquor to be consumed with a meal,Intoxicating Liquor Licensing Act 1998
65,Haiti,[none],[none],,"The Senate voted on a proposed Law on the protection of minors from alcohol beverages, to establish a legal purchase age of 18 and related implementation measures, in December 2012; it has not yet been enacted."
66,Honduras,18,18,,Decree 226 of 2001 Art 68
67,Hungary,18,18,,Law on Trade (2005) Sec 5 Art 7
68,Iceland,20,20,,Alcohol Act No. 75/1998 Art 18
69,India,[varies by jurisdiction],[varies by jurisdiction],"18 in Goa, Himachal Pradesh, Karnataka, Sikkim, and Puducherry 21 in Andhra Pradesh, Arunachal Pradesh, Assam, Chhattisgarh, Jammu and Kashmir, Jharkhand, Kerala, Madhya Pradesh, Maharashtra, Mizoram, Orissa (Odisha), Rajasthan, Tamil Nadu, Telangana, Tripura, Uttarakhand, Uttar Pradesh, and West Bengal 25 in Haryana, Meghalaya, Punjab, Delhi [all sale is prohibited] in Bihar, Gujarat, Manipur, Nagaland, Lakshadweep",[various - see state Excise Acts and related regulaitons]
70,Indonesia,[varies by jurisdiction],[varies by jurisdiction],[all sale is prohibited] in Banda Aceh and Papua; 21 elsewhere for both on- and off-premise,"Ministry of Trade Regulation No 20/2014 Art 15 Aceh Law No 6/2014 (Oct. 22, 2014) Art 3"
71,Iran,[all sale is prohibited],[all sale is prohibited],,[n/a]
72,Iraq,[all sale is prohibited],[all sale is prohibited],,"[Law passed by Parliament on October 23, 2016]"
73,Ireland,18,18,,Intoxicating Liquor Act 2003 Sec 13
74,Israel,18,18,,Business Licensing Law 2010 (26th amendment) Law to control alcohol intoxication 2010
75,Italy,18,18,,"Penal Code, Book III, Title I, Art 689 as amended by Law 189/2012"
76,Jamaica,18,18,,"Spirit License Act 42/1995, Sec 62 Child Care and Protection Act 2004, Sec 40"
77,Japan,20,20,,Underage Drinking Act 2001
78,Jordan,18,18,,Royal Decree (October 2001)
79,Kazakhstan,21,21,,Code of Administrative Offences Sec 200
80,Kenya,18,18,,The Alcoholic Drinks Control Act 2010 Part III Licensing 24.1
81,Kiribati,21,21,,Liquor Ordinance 1973 Liquor (Amendment) Act 12-2005
82,"Korea, Republic of",19*,19*,"Being 19 is defined, for the purposes of this legislation, as effective from January 1st of the 19th year after one's birth","Juvenile Protection Act Art 1, 26"
83,Kuwait,[all sale is prohibited],[all sale is prohibited],,Law No 46/1964
84,Kyrgyzstan,18,18,,Law 269 of 13/09/2009 Art 13.2
85,Lao People's Democratic Republic,18,18,,Law on Control of Alcoholic Beverages 2015
86,Latvia,18,18,,Handling of Alcohol Law as amended through 1999 Sec 52
87,Lebanon,18,18,,Penal Code Art 625-626
